Entity,Code,Year,Share of one-year-olds vaccinated against rubella
Italy,ITA,2020,92
Italy,ITA,2021,94
Italy,ITA,2022,94
Italy,ITA,2023,95
Italy,ITA,2024,95
Jamaica,JAM,1993,80
Jamaica,JAM,1994,82
Jamaica,JAM,1995,90
Jamaica,JAM,1996,96
Jamaica,JAM,1997,88
Jamaica,JAM,1998,88
Jamaica,JAM,1999,82
Jamaica,JAM,2000,88
Jamaica,JAM,2001,85
Jamaica,JAM,2002,86
Jamaica,JAM,2003,78
Jamaica,JAM,2004,86
Jamaica,JAM,2005,84
Jamaica,JAM,2006,87
Jamaica,JAM,2007,76
Jamaica,JAM,2008,88
Jamaica,JAM,2009,88
Jamaica,JAM,2010,89
Jamaica,JAM,2011,88
Jamaica,JAM,2012,93
Jamaica,JAM,2013,94
Jamaica,JAM,2014,92
Jamaica,JAM,2015,91
Jamaica,JAM,2016,95
Jamaica,JAM,2017,95
Jamaica,JAM,2018,89
Jamaica,JAM,2019,94
Jamaica,JAM,2020,93
Jamaica,JAM,2021,88
Jamaica,JAM,2022,91
Jamaica,JAM,2023,93
Jamaica,JAM,2024,94
Japan,JPN,1989,77
Japan,JPN,1990,73
Japan,JPN,1991,71
Japan,JPN,1992,69
Japan,JPN,1993,68
Japan,JPN,1994,81
Japan,JPN,1995,93
Japan,JPN,1996,94
Japan,JPN,1997,94
Japan,JPN,1998,95
Japan,JPN,1999,95
Japan,JPN,2000,96
Japan,JPN,2001,98
Japan,JPN,2002,98
Japan,JPN,2003,98
Japan,JPN,2004,98
Japan,JPN,2005,98
Japan,JPN,2006,97
Japan,JPN,2007,96
Japan,JPN,2008,95
Japan,JPN,2009,94
Japan,JPN,2010,94
Japan,JPN,2011,94
Japan,JPN,2012,96
Japan,JPN,2013,95
Japan,JPN,2014,98
Japan,JPN,2015,96
Japan,JPN,2016,96
Japan,JPN,2017,97
Japan,JPN,2018,97
Japan,JPN,2019,96
Japan,JPN,2020,98
Japan,JPN,2021,95
Japan,JPN,2022,98
Japan,JPN,2023,94
Japan,JPN,2024,95
Jordan,JOR,2000,83
Jordan,JOR,2001,87
Jordan,JOR,2002,90
Jordan,JOR,2003,91
Jordan,JOR,2004,98
Jordan,JOR,2005,92
Jordan,JOR,2006,88
Jordan,JOR,2007,97
Jordan,JOR,2008,90
Jordan,JOR,2009,90
Jordan,JOR,2010,95
Jordan,JOR,2011,95
Jordan,JOR,2012,96
Jordan,JOR,2013,98
Jordan,JOR,2014,98
Jordan,JOR,2015,96
Jordan,JOR,2016,99
Jordan,JOR,2017,99
Jordan,JOR,2018,96
Jordan,JOR,2019,93
Jordan,JOR,2020,76
Jordan,JOR,2021,81
Jordan,JOR,2022,86
Jordan,JOR,2023,95
Jordan,JOR,2024,99
Kazakhstan,KAZ,2004,99
Kazakhstan,KAZ,2005,99
Kazakhstan,KAZ,2006,99
Kazakhstan,KAZ,2007,99
Kazakhstan,KAZ,2008,99
Kazakhstan,KAZ,2009,99
Kazakhstan,KAZ,2010,99
Kazakhstan,KAZ,2011,99
Kazakhstan,KAZ,2012,96
Kazakhstan,KAZ,2013,99
Kazakhstan,KAZ,2014,99
Kazakhstan,KAZ,2015,99
Kazakhstan,KAZ,2016,99
Kazakhstan,KAZ,2017,99
Kazakhstan,KAZ,2018,99
Kazakhstan,KAZ,2019,99
Kazakhstan,KAZ,2020,93
Kazakhstan,KAZ,2021,97
Kazakhstan,KAZ,2022,99
Kazakhstan,KAZ,2023,99
Kazakhstan,KAZ,2024,93
Kenya,KEN,2017,84
Kenya,KEN,2018,92
Kenya,KEN,2019,92
Kenya,KEN,2020,89
Kenya,KEN,2021,90
Kenya,KEN,2022,89
Kenya,KEN,2023,91
Kenya,KEN,2024,88
Kiribati,KIR,2004,56
Kiribati,KIR,2005,85
Kiribati,KIR,2006,61
Kiribati,KIR,2007,93
Kiribati,KIR,2008,72
Kiribati,KIR,2009,82
Kiribati,KIR,2010,89
Kiribati,KIR,2011,90
Kiribati,KIR,2012,91
Kiribati,KIR,2013,91
Kiribati,KIR,2014,88
Kiribati,KIR,2015,84
Kiribati,KIR,2016,80
Kiribati,KIR,2017,81
Kiribati,KIR,2018,84
Kiribati,KIR,2019,94
Kiribati,KIR,2020,82
Kiribati,KIR,2021,80
Kiribati,KIR,2022,85
Kiribati,KIR,2023,79
Kiribati,KIR,2024,79
Kuwait,KWT,1995,98
Kuwait,KWT,1996,99
Kuwait,KWT,1997,95
Kuwait,KWT,1998,99
Kuwait,KWT,1999,96
Kuwait,KWT,2000,99
Kuwait,KWT,2001,99
Kuwait,KWT,2002,97
Kuwait,KWT,2003,97
Kuwait,KWT,2004,97
Kuwait,KWT,2005,99
Kuwait,KWT,2006,99
Kuwait,KWT,2007,99
Kuwait,KWT,2008,99
Kuwait,KWT,2009,99
Kuwait,KWT,2010,98
Kuwait,KWT,2011,99
Kuwait,KWT,2012,99
Kuwait,KWT,2013,99
Kuwait,KWT,2014,94
Kuwait,KWT,2015,93
Kuwait,KWT,2016,99
Kuwait,KWT,2017,99
Kuwait,KWT,2018,98
Kuwait,KWT,2019,97
Kuwait,KWT,2020,95
Kuwait,KWT,2021,94
Kuwait,KWT,2022,99
Kuwait,KWT,2023,99
Kuwait,KWT,2024,98
Kyrgyzstan,KGZ,2001,99
Kyrgyzstan,KGZ,2002,98
Kyrgyzstan,KGZ,2003,99
Kyrgyzstan,KGZ,2004,99
Kyrgyzstan,KGZ,2005,99
Kyrgyzstan,KGZ,2006,97
Kyrgyzstan,KGZ,2007,99
Kyrgyzstan,KGZ,2008,99
Kyrgyzstan,KGZ,2009,99
Kyrgyzstan,KGZ,2010,99
Kyrgyzstan,KGZ,2011,97
Kyrgyzstan,KGZ,2012,98
Kyrgyzstan,KGZ,2013,99
Kyrgyzstan,KGZ,2014,96
Kyrgyzstan,KGZ,2015,99
Kyrgyzstan,KGZ,2016,97
Kyrgyzstan,KGZ,2017,95
Kyrgyzstan,KGZ,2018,96
Kyrgyzstan,KGZ,2019,96
Kyrgyzstan,KGZ,2020,92
Kyrgyzstan,KGZ,2021,93
Kyrgyzstan,KGZ,2022,94
Kyrgyzstan,KGZ,2023,96
Kyrgyzstan,KGZ,2024,96
Laos,LAO,2012,69
Laos,LAO,2013,78
Laos,LAO,2014,81
Laos,LAO,2015,78
Laos,LAO,2016,76
Laos,LAO,2017,78
Laos,LAO,2018,75
Laos,LAO,2019,70
Laos,LAO,2020,63
Laos,LAO,2021,62
Laos,LAO,2022,65
Laos,LAO,2023,69
Laos,LAO,2024,69
Latin America and the Caribbean (UNICEF),,1980,0
Latin America and the Caribbean (UNICEF),,1981,0
Latin America and the Caribbean (UNICEF),,1982,0
Latin America and the Caribbean (UNICEF),,1983,0
Latin America and the Caribbean (UNICEF),,1984,0
Latin America and the Caribbean (UNICEF),,1985,0
Latin America and the Caribbean (UNICEF),,1986,2
Latin America and the Caribbean (UNICEF),,1987,3
Latin America and the Caribbean (UNICEF),,1988,3
Latin America and the Caribbean (UNICEF),,1989,3
Latin America and the Caribbean (UNICEF),,1990,5
Latin America and the Caribbean (UNICEF),,1991,6
Latin America and the Caribbean (UNICEF),,1992,5
Latin America and the Caribbean (UNICEF),,1993,6
Latin America and the Caribbean (UNICEF),,1994,6
Latin America and the Caribbean (UNICEF),,1995,13
Latin America and the Caribbean (UNICEF),,1996,13
Latin America and the Caribbean (UNICEF),,1997,23
Latin America and the Caribbean (UNICEF),,1998,49
Latin America and the Caribbean (UNICEF),,1999,49
Latin America and the Caribbean (UNICEF),,2000,82
Latin America and the Caribbean (UNICEF),,2001,86
Latin America and the Caribbean (UNICEF),,2002,85
Latin America and the Caribbean (UNICEF),,2003,91
Latin America and the Caribbean (UNICEF),,2004,92
Latin America and the Caribbean (UNICEF),,2005,91
Latin America and the Caribbean (UNICEF),,2006,93
Latin America and the Caribbean (UNICEF),,2007,93
Latin America and the Caribbean (UNICEF),,2008,95
Latin America and the Caribbean (UNICEF),,2009,94
Latin America and the Caribbean (UNICEF),,2010,93
Latin America and the Caribbean (UNICEF),,2011,94
Latin America and the Caribbean (UNICEF),,2012,95
Latin America and the Caribbean (UNICEF),,2013,92
Latin America and the Caribbean (UNICEF),,2014,93
Latin America and the Caribbean (UNICEF),,2015,93
Latin America and the Caribbean (UNICEF),,2016,93
Latin America and the Caribbean (UNICEF),,2017,86
Latin America and the Caribbean (UNICEF),,2018,91
Latin America and the Caribbean (UNICEF),,2019,86
Latin America and the Caribbean (UNICEF),,2020,84
Latin America and the Caribbean (UNICEF),,2021,83
Latin America and the Caribbean (UNICEF),,2022,81
Latin America and the Caribbean (UNICEF),,2023,83
Latin America and the Caribbean (UNICEF),,2024,86
Latvia,LVA,1993,80
Latvia,LVA,1994,81
Latvia,LVA,1995,81
Latvia,LVA,1996,96
Latvia,LVA,1997,97
Latvia,LVA,1998,97
Latvia,LVA,1999,97
Latvia,LVA,2000,97
Latvia,LVA,2001,98
Latvia,LVA,2002,98
Latvia,LVA,2003,98
Latvia,LVA,2004,98
Latvia,LVA,2005,98
Latvia,LVA,2006,98
Latvia,LVA,2007,95
Latvia,LVA,2008,96
Latvia,LVA,2009,92
Latvia,LVA,2010,95
Latvia,LVA,2011,92
Latvia,LVA,2012,90
Latvia,LVA,2013,96
Latvia,LVA,2014,95
Latvia,LVA,2015,96
Latvia,LVA,2016,93
Latvia,LVA,2017,96
Latvia,LVA,2018,98
Latvia,LVA,2019,99
Latvia,LVA,2020,99
Latvia,LVA,2021,97
Latvia,LVA,2022,96
Latvia,LVA,2023,97
Latvia,LVA,2024,98
Lebanon,LBN,1995,85
Lebanon,LBN,1996,85
Lebanon,LBN,1997,89
Lebanon,LBN,1998,83
Lebanon,LBN,1999,77
Lebanon,LBN,2000,71
Lebanon,LBN,2001,65
Lebanon,LBN,2002,59
Lebanon,LBN,2003,53
Lebanon,LBN,2004,60
Lebanon,LBN,2005,67
Lebanon,LBN,2006,75
Lebanon,LBN,2007,82
Lebanon,LBN,2008,89
Lebanon,LBN,2009,88
Lebanon,LBN,2010,86
Lebanon,LBN,2011,85
Lebanon,LBN,2012,83
Lebanon,LBN,2013,82
Lebanon,LBN,2014,82
Lebanon,LBN,2015,82
Lebanon,LBN,2016,82
Lebanon,LBN,2017,82
Lebanon,LBN,2018,82
Lebanon,LBN,2019,82
Lebanon,LBN,2020,74
Lebanon,LBN,2021,67
Lebanon,LBN,2022,67
Lebanon,LBN,2023,67
Lebanon,LBN,2024,67
Lesotho,LSO,2017,89
Lesotho,LSO,2018,89
Lesotho,LSO,2019,90
Lesotho,LSO,2020,90
Lesotho,LSO,2021,90
Lesotho,LSO,2022,84
Lesotho,LSO,2023,76
Lesotho,LSO,2024,90
Libya,LBY,1995,92
Libya,LBY,1996,93
Libya,LBY,1997,91
Libya,LBY,1998,92
Libya,LBY,1999,92
Libya,LBY,2000,93
Libya,LBY,2001,93
Libya,LBY,2002,91
Libya,LBY,2003,96
Libya,LBY,2004,99
Libya,LBY,2005,97
Libya,LBY,2006,98
Libya,LBY,2007,98
Libya,LBY,2008,98
Libya,LBY,2009,98
Libya,LBY,2010,98
Libya,LBY,2011,98
Libya,LBY,2012,98
Libya,LBY,2013,96
Libya,LBY,2014,93
Libya,LBY,2015,98
Libya,LBY,2016,97
Libya,LBY,2017,95
Libya,LBY,2018,73
Libya,LBY,2019,73
Libya,LBY,2020,73
Libya,LBY,2021,73
Libya,LBY,2022,73
Libya,LBY,2023,73
Libya,LBY,2024,89
Lithuania,LTU,1992,89
Lithuania,LTU,1993,92
Lithuania,LTU,1994,93
Lithuania,LTU,1995,94
Lithuania,LTU,1996,96
Lithuania,LTU,1997,96
Lithuania,LTU,1998,97
Lithuania,LTU,1999,97
Lithuania,LTU,2000,97
Lithuania,LTU,2001,97
Lithuania,LTU,2002,98
Lithuania,LTU,2003,98
Lithuania,LTU,2004,98
Lithuania,LTU,2005,97
Lithuania,LTU,2006,97
Lithuania,LTU,2007,97
Lithuania,LTU,2008,97
Lithuania,LTU,2009,96
Lithuania,LTU,2010,96
Lithuania,LTU,2011,94
Lithuania,LTU,2012,93
Lithuania,LTU,2013,93
Lithuania,LTU,2014,93
Lithuania,LTU,2015,94
Lithuania,LTU,2016,94
Lithuania,LTU,2017,94
Lithuania,LTU,2018,92
Lithuania,LTU,2019,93
Lithuania,LTU,2020,90
Lithuania,LTU,2021,88
Lithuania,LTU,2022,87
Lithuania,LTU,2023,87
Lithuania,LTU,2024,86
Low-income countries,,1980,0
Low-income countries,,1981,0
Low-income countries,,1982,0
Low-income countries,,1983,0
Low-income countries,,1984,0
Low-income countries,,1985,0
Low-income countries,,1986,0
Low-income countries,,1987,0
Low-income countries,,1988,0
Low-income countries,,1989,0
Low-income countries,,1990,0
Low-income countries,,1991,0
Low-income countries,,1992,0
Low-income countries,,1993,0
Low-income countries,,1994,0
Low-income countries,,1995,0
Low-income countries,,1996,0
Low-income countries,,1997,0
Low-income countries,,1998,0
Low-income countries,,1999,3
Low-income countries,,2000,3
Low-income countries,,2001,3
Low-income countries,,2002,3
Low-income countries,,2003,3
Low-income countries,,2004,3
Low-income countries,,2005,3
Low-income countries,,2006,3
Low-income countries,,2007,3
Low-income countries,,2008,3
Low-income countries,,2009,3
Low-income countries,,2010,3
Low-income countries,,2011,3
Low-income countries,,2012,3
Low-income countries,,2013,2
Low-income countries,,2014,2
Low-income countries,,2015,10
Low-income countries,,2016,11
Low-income countries,,2017,16
Low-income countries,,2018,22
Low-income countries,,2019,22
Low-income countries,,2020,31
Low-income countries,,2021,30
Low-income countries,,2022,30
Low-income countries,,2023,30
Low-income countries,,2024,35
Lower-middle-income countries,,1980,0
Lower-middle-income countries,,1981,0
Lower-middle-income countries,,1982,0
Lower-middle-income countries,,1983,0
Lower-middle-income countries,,1984,0
Lower-middle-income countries,,1985,0
Lower-middle-income countries,,1986,0
Lower-middle-income countries,,1987,0
Lower-middle-income countries,,1988,0
Lower-middle-income countries,,1989,0
Lower-middle-income countries,,1990,0
Lower-middle-income countries,,1991,0
Lower-middle-income countries,,1992,0
Lower-middle-income countries,,1993,0
Lower-middle-income countries,,1994,0
Lower-middle-income countries,,1995,0
Lower-middle-income countries,,1996,1
Lower-middle-income countries,,1997,1
Lower-middle-income countries,,1998,1
Lower-middle-income countries,,1999,4
Lower-middle-income countries,,2000,5
Lower-middle-income countries,,2001,5
Lower-middle-income countries,,2002,5
Lower-middle-income countries,,2003,5
Lower-middle-income countries,,2004,6
Lower-middle-income countries,,2005,6
Lower-middle-income countries,,2006,7
Lower-middle-income countries,,2007,7
Lower-middle-income countries,,2008,7
Lower-middle-income countries,,2009,7
Lower-middle-income countries,,2010,11
Lower-middle-income countries,,2011,11
Lower-middle-income countries,,2012,12
Lower-middle-income countries,,2013,19
Lower-middle-income countries,,2014,23
Lower-middle-income countries,,2015,27
Lower-middle-income countries,,2016,28
Lower-middle-income countries,,2017,34
Lower-middle-income countries,,2018,70
Lower-middle-income countries,,2019,71
Lower-middle-income countries,,2020,68
Lower-middle-income countries,,2021,66
Lower-middle-income countries,,2022,77
Lower-middle-income countries,,2023,78
Lower-middle-income countries,,2024,79
Luxembourg,LUX,1995,88
Luxembourg,LUX,1996,91
Luxembourg,LUX,1997,91
Luxembourg,LUX,1998,92
Luxembourg,LUX,1999,92
Luxembourg,LUX,2000,93
Luxembourg,LUX,2001,94
Luxembourg,LUX,2002,94
Luxembourg,LUX,2003,95
Luxembourg,LUX,2004,95
Luxembourg,LUX,2005,95
Luxembourg,LUX,2006,95
Luxembourg,LUX,2007,96
Luxembourg,LUX,2008,96
Luxembourg,LUX,2009,96
Luxembourg,LUX,2010,96
Luxembourg,LUX,2011,96
Luxembourg,LUX,2012,99
Luxembourg,LUX,2013,99
Luxembourg,LUX,2014,99
Luxembourg,LUX,2015,99
Luxembourg,LUX,2016,99
Luxembourg,LUX,2017,99
Luxembourg,LUX,2018,99
Luxembourg,LUX,2019,96
Luxembourg,LUX,2020,99
Luxembourg,LUX,2021,99
Luxembourg,LUX,2022,99
Luxembourg,LUX,2023,99
Luxembourg,LUX,2024,99
Malawi,MWI,2017,83
Malawi,MWI,2018,87
Malawi,MWI,2019,92
Malawi,MWI,2020,90
Malawi,MWI,2021,90
Malawi,MWI,2022,82
Malawi,MWI,2023,87
Malawi,MWI,2024,89
Malaysia,MYS,1998,96
Malaysia,MYS,1999,97
Malaysia,MYS,2000,96
Malaysia,MYS,2001,95
Malaysia,MYS,2002,94
Malaysia,MYS,2003,93
Malaysia,MYS,2004,95
Malaysia,MYS,2005,96
Malaysia,MYS,2006,95
Malaysia,MYS,2007,95
Malaysia,MYS,2008,95
Malaysia,MYS,2009,95
Malaysia,MYS,2010,95
Malaysia,MYS,2011,95
Malaysia,MYS,2012,95
Malaysia,MYS,2013,95
Malaysia,MYS,2014,92
Malaysia,MYS,2015,93
Malaysia,MYS,2016,96
Malaysia,MYS,2017,96
Malaysia,MYS,2018,98
Malaysia,MYS,2019,97
Malaysia,MYS,2020,95
Malaysia,MYS,2021,96
Malaysia,MYS,2022,96
Malaysia,MYS,2023,96
Malaysia,MYS,2024,96
Maldives,MDV,2007,56
Maldives,MDV,2008,76
Maldives,MDV,2009,96
Maldives,MDV,2010,96
Maldives,MDV,2011,96
Maldives,MDV,2012,99
Maldives,MDV,2013,99
Maldives,MDV,2014,97
Maldives,MDV,2015,99
Maldives,MDV,2016,99
Maldives,MDV,2017,99
Maldives,MDV,2018,99
Maldives,MDV,2019,99
Maldives,MDV,2020,98
Maldives,MDV,2021,97
Maldives,MDV,2022,98
Maldives,MDV,2023,99
Maldives,MDV,2024,99
Mali,MLI,2024,36
Malta,MLT,1985,10
Malta,MLT,1986,35
Malta,MLT,1987,59
Malta,MLT,1988,41
Malta,MLT,1989,86
Malta,MLT,1990,80
Malta,MLT,1991,90
Malta,MLT,1992,92
Malta,MLT,1993,90
Malta,MLT,1994,71
Malta,MLT,1995,51
Malta,MLT,1996,51
Malta,MLT,1997,56
Malta,MLT,1998,60
Malta,MLT,1999,67
Malta,MLT,2000,74
Malta,MLT,2001,70
Malta,MLT,2002,65
Malta,MLT,2003,90
Malta,MLT,2004,94
Malta,MLT,2005,86
Malta,MLT,2006,94
Malta,MLT,2007,79
Malta,MLT,2008,78
Malta,MLT,2009,82
Malta,MLT,2010,73
Malta,MLT,2011,84
Malta,MLT,2012,93
Malta,MLT,2013,99
Malta,MLT,2014,98
Malta,MLT,2015,89
Malta,MLT,2016,93
Malta,MLT,2017,91
Malta,MLT,2018,96
Malta,MLT,2019,96
Malta,MLT,2020,95
Malta,MLT,2021,90
Malta,MLT,2022,96
Malta,MLT,2023,95
Malta,MLT,2024,88
Marshall Islands,MHL,1998,93
Marshall Islands,MHL,1999,93
Marshall Islands,MHL,2000,94
Marshall Islands,MHL,2001,64
Marshall Islands,MHL,2002,80
Marshall Islands,MHL,2003,90
Marshall Islands,MHL,2004,70
Marshall Islands,MHL,2005,86
Marshall Islands,MHL,2006,96
Marshall Islands,MHL,2007,94
Marshall Islands,MHL,2008,86
Marshall Islands,MHL,2009,78
Marshall Islands,MHL,2010,97
Marshall Islands,MHL,2011,88
Marshall Islands,MHL,2012,78
Marshall Islands,MHL,2013,79
Marshall Islands,MHL,2014,79
Marshall Islands,MHL,2015,75
Marshall Islands,MHL,2016,75
Marshall Islands,MHL,2017,83
Marshall Islands,MHL,2018,83
Marshall Islands,MHL,2019,85
Marshall Islands,MHL,2020,89
Marshall Islands,MHL,2021,85
Marshall Islands,MHL,2022,81
Marshall Islands,MHL,2023,88
Marshall Islands,MHL,2024,88
Mauritania,MRT,2018,78
Mauritania,MRT,2019,75
Mauritania,MRT,2020,82
Mauritania,MRT,2021,75
Mauritania,MRT,2022,84
Mauritania,MRT,2023,92
Mauritania,MRT,2024,93
Mauritius,MUS,1996,61
Mauritius,MUS,1997,87
Mauritius,MUS,1998,85
Mauritius,MUS,1999,80
Mauritius,MUS,2000,84
Mauritius,MUS,2001,90
Mauritius,MUS,2002,84
Mauritius,MUS,2003,91
Mauritius,MUS,2004,98
Mauritius,MUS,2005,98
Mauritius,MUS,2006,99
Mauritius,MUS,2007,98
Mauritius,MUS,2008,98
Mauritius,MUS,2009,99
Mauritius,MUS,2010,99
Mauritius,MUS,2011,99
Mauritius,MUS,2012,99
Mauritius,MUS,2013,99
Mauritius,MUS,2014,98
Mauritius,MUS,2015,99
Mauritius,MUS,2016,92
Mauritius,MUS,2017,89
Mauritius,MUS,2018,99
Mauritius,MUS,2019,99
Mauritius,MUS,2020,98
Mauritius,MUS,2021,97
Mauritius,MUS,2022,98
Mauritius,MUS,2023,96
Mauritius,MUS,2024,98
Mexico,MEX,1998,96
Mexico,MEX,1999,94
Mexico,MEX,2000,96
Mexico,MEX,2001,95
Mexico,MEX,2002,96
Mexico,MEX,2003,96
Mexico,MEX,2004,96
Mexico,MEX,2005,96
Mexico,MEX,2006,96
Mexico,MEX,2007,96
Mexico,MEX,2008,96
Mexico,MEX,2009,96
Mexico,MEX,2010,95
Mexico,MEX,2011,98
Mexico,MEX,2012,99
Mexico,MEX,2013,89
Mexico,MEX,2014,98
Mexico,MEX,2015,98
Mexico,MEX,2016,97
Mexico,MEX,2017,76
Mexico,MEX,2018,97
Mexico,MEX,2019,73
Mexico,MEX,2020,92
Mexico,MEX,2021,99
Mexico,MEX,2022,86
Mexico,MEX,2023,76
Mexico,MEX,2024,80
Micronesia (country),FSM,1987,69
Micronesia (country),FSM,1988,84
Micronesia (country),FSM,1989,94
Micronesia (country),FSM,1990,81
Micronesia (country),FSM,1991,76
Micronesia (country),FSM,1992,78
Micronesia (country),FSM,1993,80
Micronesia (country),FSM,1994,83
Micronesia (country),FSM,1995,90
Micronesia (country),FSM,1996,82
Micronesia (country),FSM,1997,74
Micronesia (country),FSM,1998,82
Micronesia (country),FSM,1999,79
Micronesia (country),FSM,2000,85
Micronesia (country),FSM,2001,84
Micronesia (country),FSM,2002,88
Micronesia (country),FSM,2003,91
Micronesia (country),FSM,2004,85
Micronesia (country),FSM,2005,96
Micronesia (country),FSM,2006,83
Micronesia (country),FSM,2007,92
Micronesia (country),FSM,2008,86
Micronesia (country),FSM,2009,86
Micronesia (country),FSM,2010,80
Micronesia (country),FSM,2011,92
Micronesia (country),FSM,2012,91
Micronesia (country),FSM,2013,91
Micronesia (country),FSM,2014,83
Micronesia (country),FSM,2015,74
Micronesia (country),FSM,2016,70
Micronesia (country),FSM,2017,76
Micronesia (country),FSM,2018,73
Micronesia (country),FSM,2019,78
Micronesia (country),FSM,2020,79
Micronesia (country),FSM,2021,64
Micronesia (country),FSM,2022,69
Micronesia (country),FSM,2023,86
Micronesia (country),FSM,2024,81
Middle East and North Africa (UNICEF),,1980,0
Middle East and North Africa (UNICEF),,1981,0
Middle East and North Africa (UNICEF),,1982,0
Middle East and North Africa (UNICEF),,1983,0
Middle East and North Africa (UNICEF),,1984,0
Middle East and North Africa (UNICEF),,1985,0
Middle East and North Africa (UNICEF),,1986,0
Middle East and North Africa (UNICEF),,1987,0
Middle East and North Africa (UNICEF),,1988,0
Middle East and North Africa (UNICEF),,1989,1
Middle East and North Africa (UNICEF),,1990,1
Middle East and North Africa (UNICEF),,1991,5
Middle East and North Africa (UNICEF),,1992,5
Middle East and North Africa (UNICEF),,1993,5
Middle East and North Africa (UNICEF),,1994,6
Middle East and North Africa (UNICEF),,1995,15
Middle East and North Africa (UNICEF),,1996,15
Middle East and North Africa (UNICEF),,1997,8
Middle East and North Africa (UNICEF),,1998,9
Middle East and North Africa (UNICEF),,1999,33
Middle East and North Africa (UNICEF),,2000,37
Middle East and North Africa (UNICEF),,2001,42
Middle East and North Africa (UNICEF),,2002,41
Middle East and North Africa (UNICEF),,2003,40
Middle East and North Africa (UNICEF),,2004,57
Middle East and North Africa (UNICEF),,2005,59
Middle East and North Africa (UNICEF),,2006,59
Middle East and North Africa (UNICEF),,2007,60
Middle East and North Africa (UNICEF),,2008,55
Middle East and North Africa (UNICEF),,2009,56
Middle East and North Africa (UNICEF),,2010,56
Middle East and North Africa (UNICEF),,2011,58
Middle East and North Africa (UNICEF),,2012,58
Middle East and North Africa (UNICEF),,2013,58
Middle East and North Africa (UNICEF),,2014,64
Middle East and North Africa (UNICEF),,2015,70
Middle East and North Africa (UNICEF),,2016,70
Middle East and North Africa (UNICEF),,2017,78
Middle East and North Africa (UNICEF),,2018,75
Middle East and North Africa (UNICEF),,2019,75
Middle East and North Africa (UNICEF),,2020,74
Middle East and North Africa (UNICEF),,2021,73
Middle East and North Africa (UNICEF),,2022,74
Middle East and North Africa (UNICEF),,2023,75
Middle East and North Africa (UNICEF),,2024,81
Middle-income countries,,1980,0
Middle-income countries,,1981,0
Middle-income countries,,1982,0
Middle-income countries,,1983,0
Middle-income countries,,1984,0
Middle-income countries,,1985,0
Middle-income countries,,1986,0
Middle-income countries,,1987,0
Middle-income countries,,1988,0
Middle-income countries,,1989,0
Middle-income countries,,1990,0
Middle-income countries,,1991,0
Middle-income countries,,1992,0
Middle-income countries,,1993,1
Middle-income countries,,1994,1
Middle-income countries,,1995,3
Middle-income countries,,1996,3
Middle-income countries,,1997,4
Middle-income countries,,1998,7
Middle-income countries,,1999,9
Middle-income countries,,2000,13
Middle-income countries,,2001,14
Middle-income countries,,2002,14
Middle-income countries,,2003,15
Middle-income countries,,2004,17
Middle-income countries,,2005,17
Middle-income countries,,2006,19
Middle-income countries,,2007,19
Middle-income countries,,2008,18
Middle-income countries,,2009,19
Middle-income countries,,2010,31
Middle-income countries,,2011,35
Middle-income countries,,2012,38
Middle-income countries,,2013,42
Middle-income countries,,2014,45
Middle-income countries,,2015,47
Middle-income countries,,2016,48
Middle-income countries,,2017,53
Middle-income countries,,2018,75
Middle-income countries,,2019,78
Middle-income countries,,2020,74
Middle-income countries,,2021,72
Middle-income countries,,2022,81
Middle-income countries,,2023,80
Middle-income countries,,2024,82
Moldova,MDA,2002,94
Moldova,MDA,2003,96
Moldova,MDA,2004,96
Moldova,MDA,2005,97
Moldova,MDA,2006,96
Moldova,MDA,2007,96
Moldova,MDA,2008,95
Moldova,MDA,2009,90
Moldova,MDA,2010,97
Moldova,MDA,2011,91
Moldova,MDA,2012,91
Moldova,MDA,2013,91
Moldova,MDA,2014,90
Moldova,MDA,2015,89
Moldova,MDA,2016,88
Moldova,MDA,2017,93
Moldova,MDA,2018,93
Moldova,MDA,2019,97
Moldova,MDA,2020,84
Moldova,MDA,2021,83
Moldova,MDA,2022,84
Moldova,MDA,2023,85
Moldova,MDA,2024,84
Monaco,MCO,1988,99
Monaco,MCO,1989,99
Monaco,MCO,1990,99
Monaco,MCO,1991,98
Monaco,MCO,1992,98
Monaco,MCO,1993,99
Monaco,MCO,1994,99
Monaco,MCO,1995,99
Monaco,MCO,1996,99
Monaco,MCO,1997,99
Monaco,MCO,1998,99
Monaco,MCO,1999,99
Monaco,MCO,2000,98
Monaco,MCO,2001,98
Monaco,MCO,2002,97
Monaco,MCO,2003,97
Monaco,MCO,2004,96
Monaco,MCO,2005,96
Monaco,MCO,2006,94
Monaco,MCO,2007,95
Monaco,MCO,2008,94
Monaco,MCO,2009,92
Monaco,MCO,2010,93
Monaco,MCO,2011,91
Monaco,MCO,2012,91
Monaco,MCO,2013,91
Monaco,MCO,2014,90
Monaco,MCO,2015,89
Monaco,MCO,2016,89
Monaco,MCO,2017,88
Monaco,MCO,2018,88
Monaco,MCO,2019,88
Monaco,MCO,2020,88
Monaco,MCO,2021,88
Monaco,MCO,2022,88
Monaco,MCO,2023,88
Monaco,MCO,2024,88
Mongolia,MNG,2009,94
Mongolia,MNG,2010,97
Mongolia,MNG,2011,98
Mongolia,MNG,2012,99
Mongolia,MNG,2013,97
Mongolia,MNG,2014,98
Mongolia,MNG,2015,98
